circuitId,circuit_name,country,lat,lng,total_races,avg_delta,avg_qualifying_gap,lap_time_variance,best_strategy_stops,avg_1stop_position,avg_2stop_position,overtaking_score,cluster_id,cluster_label,cluster,qualifying_lock_in_score,optimal_stop_count,compound_bias
63,Sebring International Raceway,USA,27.4547,-81.3483,1,4.0,,,1.0,,,N/A,1,Mixed,1,41.2,1,0
64,Ain Diab,Morocco,33.5786,-7.6875,1,4.9375,,,1.0,,,N/A,1,Mixed,1,85.5,1,0
65,Pescara Circuit,Italy,42.475,14.1508,1,3.0,,,1.0,,,N/A,1,Mixed,1,95.3,1,0
66,Circuit Bremgarten,Switzerland,46.9589,7.40194,5,3.75,,,1.0,,,N/A,1,Mixed,1,79.3,1,0
67,Circuit de Pedralbes,Spain,41.3903,2.11667,2,3.9411764705882355,,,1.0,,,N/A,1,Mixed,1,76.6,1,0
35,Korean International Circuit,Korea,34.7333,126.417,4,2.026666666666667,2250.75,120635.83947794513,1.0,8.357142857142858,9.8,Medium,1,Mixed,1,84.7,1,0
68,Buddh International Circuit,India,28.3487,77.5331,3,1.6896551724137931,2224.3571428571427,4532.590969077641,2.0,10.095238095238095,9.838709677419354,Low,1,Mixed,1,81.5,2,0
69,Circuit of the Americas,USA,30.1328,-97.6411,13,1.5787037037037037,1969.2415094339622,8306.944118622676,1.0,9.105263157894736,9.355140186915888,Low,2,Strategy-Dominant,2,55.0,1,0
71,Sochi Autodrom,Russia,43.4057,39.9578,8,1.1567164179104477,2544.608695652174,12360.173035732601,1.0,8.086021505376344,11.209302325581396,Low,1,Mixed,1,67.4,1,0
73,Baku City Circuit,Azerbaijan,40.3725,49.8533,9,1.789855072463768,1934.8333333333333,54300.000561543784,1.0,8.671052631578947,9.692307692307692,Medium,1,Mixed,1,57.5,1,0
76,Autodromo Internazionale del Mugello,Italy,43.9975,11.3719,1,2.6666666666666665,1464.1,182820.05869726106,1.0,,,Medium,1,Mixed,1,89.4,1,0
75,Autódromo Internacional do Algarve,Portugal,37.227,-8.6267,2,0.34210526315789475,1041.75,8228.354421884274,1.0,9.266666666666667,12.75,Low,1,Mixed,1,85.2,1,0
78,Losail International Circuit,Qatar,25.49,51.4542,4,0.8571428571428571,1275.925,13052.782660044782,2.0,9.444444444444445,9.291666666666666,Low,1,Mixed,1,32.1,2,0
77,Jeddah Corniche Circuit,Saudi Arabia,21.6319,39.1044,5,1.0,1988.8877551020407,59368.41565824933,1.0,8.46774193548387,9.909090909090908,Medium,1,Mixed,1,77.2,1,0
79,Miami International Autodrome,USA,25.9581,-80.2389,4,0.6521739130434783,975.8481012658228,8382.115331267296,1.0,9.129032258064516,12.636363636363637,Low,1,Mixed,1,72.3,1,0
80,Las Vegas Strip Street Circuit,United States,36.1147,-115.173,3,1.2244897959183674,2368.866666666667,10885.651151815779,2.0,9.833333333333334,9.586206896551724,Low,1,Mixed,1,33.2,2,0
